DV0	DV1	DV2	DV3	DV4	DV5	DV6	DV7	DV8	DV9	DV10	DV11
1.9341135493E-01	4.7296798468E-01	4.1326109290E-02	2.4116296349E-01	1.3302599199E-01	6.3267856117E-01	1.8116863437E-01	4.2339652416E-01	7.9869980081E-01	8.6990983346E-01	2.0059367256E-01	2.1907352234E-01
2.5302822342E-01	2.7490285541E-01	5.0068961746E-01	3.1556421789E-01	4.1924963842E-01	3.1276886417E-01	3.7096681883E-02	7.7735437388E-01	6.2822100286E-01	7.9280983920E-01	5.1803191420E-01	2.9031906641E-01
9.2703862774E-01	5.4280554355E-01	5.3378225757E-01	5.6649572976E-02	7.6364003653E-01	6.6113135445E-01	9.3339983687E-01	6.2319617059E-02	2.0579246005E-01	8.8281901793E-01	2.5407414181E-01	5.8941207475E-01
5.3876140086E-01	8.6987661973E-01	5.9820492194E-01	6.3158193322E-01	2.5062664622E-01	3.3992828511E-01	3.0687955828E-01	6.3001203899E-01	5.9157117971E-02	3.1032412945E-01	8.7738139557E-01	5.1288525937E-01
6.9644312271E-01	5.4688298849E-01	6.2712096622E-02	9.5217661418E-01	8.4334086767E-01	4.9679749683E-01	5.0007737432E-02	2.5694162365E-01	7.2356159526E-01	5.3255963902E-01	8.9241148273E-01	7.8294707402E-01
5.0483187983E-01	4.3159882098E-02	5.8167956704E-01	3.4730845709E-01	9.6393448908E-01	1.9401237710E-01	7.3648034637E-02	7.6457244316E-01	1.2056977855E-01	1.7169212239E-01	3.1477568925E-04	5.6085941300E-01
7.7461844266E-01	2.9658962976E-02	8.6166048003E-01	2.1588066021E-01	2.9948221467E-01	5.8666428182E-01	2.3760187621E-01	4.3709301684E-01	6.9651325473E-01	5.0929125988E-01	6.7501978511E-01	3.3113559526E-01
6.7212214287E-01	9.8135724137E-01	5.3147146885E-01	9.8208729445E-02	9.1506392736E-01	5.9817942579E-01	8.3342682815E-01	5.9498789154E-01	3.2614697573E-02	7.3719757965E-01	5.2318095571E-01	8.3423437510E-01
6.0217562822E-01	2.8511772117E-01	1.7952358266E-01	7.3405064039E-01	9.3159237868E-01	9.2144318379E-01	3.0183755361E-01	7.8416500298E-01	9.1103908982E-01	3.5642084649E-01	8.1475137705E-02	8.5368526008E-01
6.2521943579E-01	8.4447635802E-01	4.0974304944E-01	4.6504927182E-01	8.0752045619E-01	7.7028444716E-01	4.5413037241E-01	4.0227568903E-01	3.7977616448E-01	1.7420418226E-01	1.4191178693E-01	6.4040931640E-01
3.4018255583E-01	2.4193313436E-01	1.5607173165E-01	1.7842592026E-01	8.6621179605E-01	7.0977268875E-01	8.5045687047E-01	7.0163156612E-01	4.0516989438E-01	8.0618177784E-01	1.6836086987E-01	9.1215734581E-01
8.0813445524E-01	2.1917151735E-01	6.0255131276E-01	5.3977741465E-01	6.0768377050E-03	1.7248516630E-01	5.2087150726E-01	9.5812806718E-01	7.9325418457E-01	3.0307853866E-01	1.8981040204E-01	6.9077247710E-01
5.5861060029E-01	9.2689929591E-01	8.3092841408E-01	3.7002442369E-01	9.2097443366E-01	1.9480086606E-01	5.6758642994E-01	6.1302955321E-01	5.3536502750E-03	4.6538637520E-01	9.8239641059E-01	9.8696462365E-01
1.2702891643E-01	8.0461151344E-01	3.2069936838E-03	8.2910964881E-01	5.7701437640E-01	6.7683917010E-01	3.7687013947E-01	4.9006288203E-01	9.8813606722E-01	7.4522485864E-01	3.2206925996E-01	7.1913026224E-01
4.5022750252E-01	1.3217632743E-02	2.8181554342E-02	4.9253069953E-01	8.2825130381E-01	2.2370454239E-01	7.6881351545E-01	5.0161979513E-01	8.5401191283E-01	8.7634954126E-01	1.5945920402E-01	8.2049943223E-01
4.4649002192E-01	9.1370056424E-01	6.9918083040E-01	7.7105604015E-01	3.7520747569E-01	9.8670004325E-01	1.9276587851E-01	7.1391724737E-01	9.6940325977E-01	6.4324246261E-01	5.7822101424E-02	9.1715716664E-01
9.6222266351E-01	3.7018415104E-02	3.5219496853E-01	4.3742497889E-01	8.1605270795E-01	2.0541927100E-01	6.3151771658E-01	9.4702527084E-01	8.2079603194E-01	4.4689071043E-01	8.8587822139E-01	5.7642796069E-01
9.6849409894E-02	3.1826168496E-01	2.9195984051E-01	5.1807867654E-01	3.8353603768E-01	6.2708889887E-01	7.1916198875E-01	8.5554562533E-01	8.7898611590E-02	6.5647892027E-01	1.8401732723E-02	5.9766622232E-01
3.1321340815E-01	1.6956208218E-01	3.6335230374E-01	5.9776534147E-01	1.6597174013E-01	1.2056488686E-01	4.3613687487E-01	9.6244051049E-01	2.8368189295E-01	4.0729509900E-02	1.7429945808E-01	9.2733208539E-01
7.8412326823E-01	9.6657212717E-01	6.2756401778E-01	3.9116546742E-01	5.6175598858E-01	8.8024939900E-01	2.9550809875E-01	1.7048332818E-01	8.8674126024E-01	1.9242362662E-01	9.1075627065E-01	1.8771725930E-02
2.8438958475E-01	2.4952130206E-02	3.5746122940E-01	9.8649617114E-01	2.4977814438E-02	5.3389593467E-01	5.0244304422E-01	9.9534992161E-02	5.0023831678E-01	6.7850457814E-01	2.3395765452E-01	3.1763933328E-01
8.3524846086E-01	8.9313789073E-01	2.5611216295E-01	5.3857405544E-01	3.8204518353E-01	9.5522463504E-01	5.6322210659E-02	2.9221992344E-01	9.2055458736E-01	7.6992755151E-01	3.6694984424E-01	1.4757721918E-01
1.2992049620E-02	5.3424871971E-01	1.6697441957E-01	6.1584919075E-01	2.6792554005E-01	6.9780884585E-01	9.9499843531E-02	5.5868692342E-01	1.5294264278E-01	1.8340069837E-01	3.3855314815E-01	2.8804863327E-01
3.3043420818E-01	7.4873769907E-01	1.8685216779E-01	6.5105548376E-02	9.6987883617E-02	6.8581798387E-01	4.6017765977E-01	3.1686553994E-01	5.5119147610E-01	3.1891488685E-01	3.5908246496E-01	1.2203328997E-01
2.9120123112E-01	2.9366028030E-01	9.9169054400E-01	5.2877440891E-01	2.5828934513E-01	2.1074579897E-01	9.2593322437E-01	9.3612654685E-01	7.5443032165E-01	1.9565374608E-02	4.9356576046E-01	2.5774505726E-01
3.4876511125E-01	6.6416017293E-01	5.1539986732E-01	9.2802570931E-01	1.9264693669E-01	7.1259017542E-01	7.9585520914E-01	4.6031803858E-02	7.6276623703E-01	2.1278449890E-01	2.9033763470E-01	6.5213372237E-03
8.8669169836E-01	6.7811046027E-02	2.6380280247E-01	9.9151719287E-01	3.7262138046E-02	6.8173183668E-01	5.8862626834E-01	6.1692227069E-01	4.4131468454E-01	1.4392643498E-01	3.1176721522E-01	1.6242641875E-01
4.1494216390E-01	3.2758485067E-01	3.1192784248E-01	7.9708531248E-01	3.2707773259E-01	7.3611881028E-01	3.1990964003E-01	7.8465322335E-02	8.3303216093E-01	2.2491662450E-01	1.5088879053E-01	3.9086102655E-01
7.5781594301E-02	6.8778614183E-01	9.9454901098E-02	4.3989363391E-02	7.5036690588E-01	8.7436116940E-01	1.8347827046E-01	2.0511150160E-01	9.4735169754E-01	9.2146944254E-01	2.7720466985E-01	4.4377349182E-01
9.6760266496E-01	9.7710368051E-01	4.4927243224E-01	6.1981216092E-01	8.6687966808E-01	5.7778233581E-01	8.2157349616E-01	6.5931415326E-01	1.3641654596E-02	4.1698901284E-01	2.4947708442E-01	5.4123058551E-01
7.0152937052E-01	3.1297079484E-01	9.8395218024E-01	1.6192246984E-01	5.9886675840E-01	6.3368757343E-01	7.0829057536E-01	7.2647876556E-01	5.8740042929E-01	6.3396651839E-01	4.8049015222E-01	6.0708152755E-01
4.8608430584E-01	2.4984584383E-01	7.8918243639E-01	4.5087417373E-01	5.3921669647E-01	3.1052916183E-01	8.6546656201E-01	3.1206825829E-01	5.4382898091E-01	4.9106561613E-01	8.0367674390E-01	1.8508127449E-01
7.4493897467E-01	7.1614610991E-01	4.0107861997E-01	6.5351849066E-01	5.6999288476E-01	9.0044165086E-01	9.3913899083E-01	8.2309214158E-01	3.0762005814E-01	3.0185335696E-02	6.5631912632E-01	1.7361367875E-01
6.6172778455E-01	7.8786001444E-01	3.7985416238E-01	6.3347381083E-01	1.3427665255E-01	2.1552473734E-01	1.1613853935E-01	3.0548214057E-02	2.1264789865E-01	3.2940899939E-01	7.1534822261E-01	4.5148798043E-01
1.5541829443E-01	5.8596730878E-02	5.1718468107E-02	4.3947008760E-03	8.5144086404E-01	3.9805197396E-01	8.7930885684E-01	8.3015518628E-01	1.1080302725E-01	5.6192683083E-02	5.5206208862E-01	3.1401018717E-01
8.4389405826E-02	7.9613172567E-01	8.0194409546E-01	8.4380093669E-01	6.7468878034E-01	8.8929729205E-01	6.1340371208E-01	7.1897461847E-01	9.9829752408E-01	9.0421478968E-01	9.8582194360E-01	3.0171810395E-01
1.3067055493E-01	6.1814039641E-02	2.1138172941E-01	6.1095493837E-01	8.7721266894E-02	2.4855094729E-01	3.6670912605E-01	5.9228758427E-01	2.9575607152E-01	6.0432407495E-01	4.7704435089E-02	7.9373170556E-01
5.5037412627E-01	7.0261657493E-01	8.5098794658E-01	5.6224829714E-01	3.0162093027E-01	8.3197810073E-01	7.5283573693E-01	1.3339864889E-01	6.8881110300E-01	7.1589399542E-01	3.8269536677E-01	9.9758281689E-02
4.2937187135E-01	2.1351720782E-01	5.5034183166E-01	2.2539218202E-01	3.1478701183E-01	4.0777244879E-01	9.8587967571E-01	7.0620075193E-01	5.6579356506E-01	2.8622433805E-01	3.4868393649E-01	6.8540205642E-01
3.5308034625E-01	5.3292400369E-01	8.2671118340E-02	6.7413286037E-01	6.4855600583E-01	5.0803924801E-01	6.9044905607E-01	8.9537141994E-01	5.0844302771E-01	5.3335593999E-01	7.4399247848E-01	5.2299447156E-01
6.7564520676E-01	8.5909353799E-01	9.3847776307E-01	4.6732080520E-01	9.9729960353E-01	8.9593166644E-01	4.2292097666E-01	3.0875118273E-01	5.4834077221E-01	3.3775660893E-01	6.3256758862E-01	6.6854320901E-01
7.6991831735E-01	6.0594030238E-01	6.4165520688E-01	2.3161403706E-01	8.7954746542E-01	9.4596518962E-01	8.1386265140E-01	6.0616300093E-01	9.0446031085E-01	5.9249445937E-01	8.3306726259E-01	9.3051354034E-01
9.1714837446E-01	9.8580747346E-01	6.4477691192E-01	2.0395660713E-01	7.0836904236E-01	2.9237171101E-01	1.3240103177E-01	8.1324765624E-01	3.5266366984E-02	7.5909139813E-01	8.5579403797E-01	9.5507758630E-01
5.2965441899E-01	1.1126943550E-01	3.4694064577E-01	8.3497580908E-02	5.5411886795E-01	1.0787044938E-01	3.9569569194E-01	1.3726904459E-02	3.6279045918E-01	1.7792685978E-01	7.2524419821E-01	4.9926917767E-01
7.8298831906E-01	4.5806578537E-01	4.2931000661E-01	8.6585851130E-01	2.6386246628E-01	9.0937378941E-01	3.9277882615E-02	2.7509593269E-01	2.6322658134E-01	4.0884470961E-01	4.0334140901E-01	7.8665054081E-01
6.3598932910E-01	3.7103035024E-01	8.2109945128E-01	8.9153669621E-01	3.1292953016E-02	1.6349784353E-01	1.5783327064E-01	9.0966241952E-01	3.5529366163E-01	6.0584077302E-01	4.1437208853E-01	5.4878112584E-01
1.7625515328E-01	1.3381599046E-01	3.2929213248E-01	4.7494363667E-01	1.7365545279E-01	1.7832712167E-01	2.8739509149E-01	9.6943868937E-01	6.9343731685E-01	8.9531761806E-01	2.1301585164E-01	4.1795113064E-02
2.1724506576E-01	3.6352996869E-01	1.1351716085E-01	9.4455049379E-01	7.3522172652E-01	1.0097025927E-01	8.4771225450E-01	9.5538363264E-01	4.8355111386E-02	2.9719167081E-01	6.8732267798E-01	4.3010506019E-01
1.5804870082E-01	6.7299380547E-01	4.8781554223E-02	3.7717223539E-01	4.3905060908E-01	6.5924452838E-01	6.4392862340E-01	9.8904169592E-01	8.8064095565E-01	9.4440387708E-02	7.2877576987E-01	9.3548299252E-01
5.4074943601E-01	9.5643702988E-01	5.6065640669E-01	6.9362865228E-01	9.2320401191E-01	7.9047640923E-01	5.4891488961E-01	4.6481540033E-01	9.5033404908E-01	4.7563951553E-01	1.2754577855E-01	1.4061856527E-02
2.4699548364E-01	9.8958633169E-01	6.0601491790E-02	3.4018850523E-01	4.8207957097E-01	9.7956402628E-01	6.2289317777E-01	8.7024640748E-01	7.9838749491E-02	8.4738453389E-01	2.1922470027E-01	4.8046725318E-01
6.5457192455E-01	4.8804370568E-01	6.5539561023E-01	1.5247051890E-01	3.0720322879E-01	2.6964881686E-01	5.4310371841E-01	8.3531572087E-01	9.6127746813E-01	8.4046462443E-01	9.9562608861E-01	4.9105371567E-01
3.9850252595E-01	3.3177651167E-01	6.0771008631E-01	2.9649544062E-01	6.3414216078E-01	5.2888818896E-02	3.7948848253E-01	7.4084273529E-01	4.9593969871E-01	9.3146687120E-01	8.9471117902E-01	4.9098773304E-02
4.0254860912E-01	1.4158654833E-01	6.6776760636E-02	9.1858991717E-01	1.7164838551E-01	5.0098152090E-01	9.5252867382E-01	2.1301711346E-01	1.2997938410E-01	5.5914508182E-01	3.3108254133E-02	7.5303644015E-01
3.5647303913E-01	7.5755895563E-02	3.9701444988E-01	2.8672874692E-01	5.4450765683E-01	8.3628201192E-01	5.5099713221E-01	1.1407945816E-01	9.7738003955E-01	5.2560609616E-01	2.0979005971E-01	5.3241261380E-01
2.1015371039E-01	8.7416105769E-01	4.5430541704E-01	3.3099318994E-02	5.5943519156E-01	4.2032725392E-01	9.1761026838E-01	2.8273284170E-01	5.3132897227E-01	2.0919903853E-01	4.6998975028E-01	8.4739754974E-01
2.0272804730E-01	5.7911297485E-01	3.6826086565E-01	3.2992570975E-01	5.8577466600E-01	2.5894474906E-01	9.4600325784E-01	3.1580839666E-03	6.8247676612E-01	7.3093974622E-01	7.0099928047E-01	9.9217472839E-01
8.7364744988E-01	4.0964556613E-01	1.0419721623E-01	1.7245037876E-01	4.1091256961E-01	7.3085292458E-01	1.6824991027E-01	6.7455131451E-01	7.1127694488E-01	7.6256709735E-01	9.2165973384E-01	4.7156626624E-01
6.2868631626E-01	7.6147162982E-01	8.3477776047E-01	5.5996871180E-01	8.9632316162E-01	3.3105368460E-02	2.7788781703E-01	7.0851966150E-02	3.1215512554E-01	5.8139664588E-01	5.0087784385E-01	7.0251135927E-01
4.9106199742E-01	2.8181459064E-01	7.2060269984E-01	8.0443626253E-01	2.9271381990E-01	9.4945130614E-02	8.5796636864E-01	7.4746263984E-01	4.8452713269E-01	8.5059347093E-01	5.0171853093E-02	8.2980809823E-01
2.6582096286E-01	8.7566994785E-02	9.0601656755E-01	1.8964581576E-01	1.2961090370E-02	9.8972421251E-01	8.0775737363E-01	3.8845638344E-01	7.3041290774E-01	2.6734616737E-03	4.3384339961E-01	9.4057953017E-01
7.1098452568E-01	7.9234616648E-01	9.9893288168E-01	1.2006677472E-01	3.6560791620E-01	6.1538851440E-01	4.6636000062E-01	8.4738982363E-01	7.5633047819E-01	8.2447504766E-01	6.9718548947E-01	2.6954121391E-01
5.7384882481E-01	7.6811654653E-01	1.8915057104E-02	2.5396415045E-01	6.4241004107E-01	1.2505758033E-01	3.3036859891E-01	4.8706563081E-01	5.1862101351E-01	4.3015097831E-01	3.2639191897E-01	8.6909272197E-01
7.9568821009E-01	9.2843865486E-02	5.6344984449E-01	2.1568356908E-02	6.5073891357E-02	6.7076729494E-01	1.0094241490E-01	6.5258363356E-01	7.4269860636E-01	5.5426693923E-01	8.3985544322E-01	6.6435999564E-01
7.6530591649E-01	6.3605172402E-01	9.2539446243E-01	6.6703646571E-01	3.6881961910E-01	5.4818223486E-01	6.8080082443E-01	5.6458325190E-01	4.1858492873E-01	5.6696539125E-01	1.6144397822E-01	1.0991462620E-01
7.9186591127E-01	3.4178296995E-01	1.5415314608E-01	5.7865682698E-01	6.0910662900E-01	7.1817851637E-01	2.2523319097E-01	2.5508125192E-01	7.7067090573E-01	9.5798830832E-01	5.6209600301E-01	7.6868414851E-01
2.9412153759E-03	1.5267734722E-01	4.6067297672E-01	3.6477770251E-01	1.8529978020E-01	1.3419789417E-01	6.6895395444E-01	1.7522991001E-01	1.8184560307E-01	6.7347570287E-01	1.8192109825E-01	9.0230313988E-01
1.0744313158E-01	7.5871751154E-01	2.5097172437E-01	4.2494698660E-01	4.3547472645E-01	3.5137284640E-01	5.9516800491E-01	1.8339980513E-02	3.9929565038E-01	9.8122548962E-01	9.5332533509E-01	4.4327734832E-03
2.4378609798E-01	3.9548026722E-01	5.7003679396E-01	7.3905381934E-01	2.7460073646E-01	5.5339750717E-01	9.7835500467E-01	9.1272494710E-01	3.4665539381E-01	2.7824293270E-01	1.3772623530E-01	6.5659225711E-01
6.6062639182E-01	8.2207944800E-02	7.5096477048E-01	8.2208348079E-01	4.0000932612E-01	1.5345119834E-01	2.5145478977E-01	3.6368250931E-01	7.8362480141E-01	1.9551965749E-01	4.2587001329E-01	2.1182151426E-01
9.5798173668E-01	1.0706467136E-01	7.7857264815E-01	6.4688472375E-01	9.4935751660E-01	5.4101069481E-01	6.9934546588E-01	2.6868337064E-01	6.0782171696E-01	9.9800248039E-01	4.3755923376E-02	6.4109610565E-02
3.8104763260E-01	4.8119785217E-01	5.1915873611E-01	2.5660967784E-01	4.4909555200E-01	3.9000694113E-01	2.0531612513E-02	9.8245545294E-01	9.9170959964E-01	3.5011792858E-01	2.7973131993E-01	1.4099056590E-01
5.8774169688E-01	9.2866917506E-01	1.1103915099E-01	4.9848735003E-01	6.1371820668E-01	2.2036731336E-01	4.9685454417E-01	4.1855472041E-01	7.2163707760E-01	4.9472477986E-01	9.5845022430E-01	5.2158852740E-01
3.3759951541E-01	2.9821333179E-01	6.8516087172E-01	7.2437496414E-01	3.5285852983E-01	7.5925637699E-01	4.8432522354E-01	2.3079774915E-01	8.4935480258E-01	1.1752402182E-01	3.0870291315E-01	5.8637097285E-01
8.2721631653E-01	5.5180625284E-01	8.8941919598E-02	8.4897162247E-01	2.4996500610E-01	3.7091570372E-01	1.4844098438E-01	4.1238385710E-02	6.4890574443E-01	6.2920308378E-01	6.5243421633E-01	8.9253510951E-02
6.2208125415E-01	8.7915663356E-01	7.5737110643E-01	5.0430626473E-01	7.8816673445E-01	2.7803785463E-01	6.5813106888E-01	3.0007072417E-01	4.3510626825E-01	6.2581459944E-01	8.1871757820E-01	2.4872859357E-01
9.5131422164E-01	6.4463089654E-01	5.2551815167E-01	2.8262560127E-01	4.2702993694E-01	7.5467912506E-01	6.8397322367E-01	6.8882438187E-01	1.6146660424E-01	4.8726926383E-01	1.0393911819E-01	8.0396563366E-01
7.3777410693E-01	5.5800624070E-01	1.9009620251E-01	1.4541038907E-01	7.0153545622E-01	5.1482937185E-01	6.3684152107E-01	4.8010317742E-01	1.2489942970E-01	6.3830216504E-02	7.6099227240E-02	5.0362308759E-01
7.5107603251E-01	3.4899776830E-01	8.4801084933E-01	7.4804728134E-02	1.4051042389E-01	4.8713755281E-01	9.0805132248E-01	3.3824832074E-01	1.8857082221E-01	3.4400307955E-01	7.5791097750E-01	5.8174642503E-01
2.9577449843E-01	5.0305398051E-01	2.2459184208E-01	4.1419135466E-01	5.2359719815E-01	5.5785532499E-01	2.0815016062E-01	3.9116639869E-01	3.1850015627E-01	6.6568849444E-01	4.6040706254E-01	8.3976922751E-01
8.0096551420E-01	1.5594138754E-01	9.6643103403E-01	3.8759342847E-01	1.0947095301E-01	6.0033739396E-01	9.7708389370E-01	8.7293920180E-01	4.3055957323E-01	7.9254378948E-02	6.6158752572E-01	1.2699449114E-01
3.2464034441E-01	7.3147603929E-01	1.3023395339E-01	9.7465046583E-01	4.6669778226E-01	2.5689508196E-02	4.4672470594E-01	4.3065365262E-01	1.5969128192E-01	5.8358066927E-01	4.9560560388E-01	5.6795362302E-01
9.1340791388E-01	5.6832232355E-01	5.7663390368E-01	2.7341139775E-01	7.9403454153E-01	3.6609825333E-01	8.7726392059E-01	4.1288589483E-01	5.5856385929E-01	2.5107500937E-01	8.5437788054E-01	4.3509521261E-01
9.3481376330E-01	9.9753094929E-01	4.9790417072E-01	2.7000150721E-01	2.8665780402E-01	4.6083714473E-01	7.7767525896E-01	9.9495061573E-01	3.2465632668E-01	2.3852755144E-01	5.3388125985E-01	3.7292461161E-01
4.6150251188E-01	9.4498370795E-01	6.6071775657E-01	2.1900830779E-01	8.2093515064E-01	4.7837586911E-01	3.3786244410E-01	7.3198567069E-01	8.6809927157E-01	8.3660370189E-02	4.7573004122E-01	6.2432350838E-01
4.8327370933E-01	8.2296439849E-01	7.0776584426E-01	5.2278509464E-01	2.0409573245E-01	1.6027703450E-01	7.0080450033E-01	2.1813172157E-01	6.4083919045E-01	3.7525014968E-01	6.1149392332E-01	3.6382616229E-01
4.1091566471E-01	4.2213076641E-01	2.8315987141E-01	1.8548089102E-01	7.4123986463E-01	1.8478251199E-01	2.3945078813E-01	3.7905198267E-01	2.3988439649E-01	2.7164164744E-01	6.3567649448E-01	6.8171175110E-01
2.1145716720E-01	3.5459654578E-01	3.3364222574E-01	5.8982169001E-01	8.5687756767E-01	1.5641858083E-03	6.1810524559E-01	9.7222414445E-01	9.3620741780E-01	4.2582839542E-01	5.8859961324E-01	3.2724898549E-01
7.9109203613E-02	6.3227669626E-01	9.8132231574E-01	8.0684449435E-01	6.6921872114E-01	4.6597678158E-01	1.5535994965E-01	1.0692438991E-01	7.0559396517E-01	5.0494061428E-01	8.0574952125E-01	3.4507402685E-02
1.2011956203E-01	1.9773747113E-02	2.8374286647E-01	9.2433909665E-01	9.7299676562E-01	9.2442397034E-03	5.0571325359E-01	7.7970255338E-01	3.6074496585E-01	4.0314760711E-01	1.8844091130E-01	2.2515902949E-01
1.4996863173E-01	2.0063741892E-01	1.4424042863E-02	5.5099815854E-01	2.7489208135E-03	9.5993989100E-01	6.6346670545E-01	5.8308860605E-01	8.0112483682E-01	7.0128316512E-01	6.9332236304E-01	7.1335433824E-01
5.7801771360E-01	6.5683704827E-01	7.0245130769E-01	3.2101644262E-01	4.6256798458E-02	4.3066832695E-01	1.2108178556E-01	8.6005312844E-01	5.9862237435E-01	7.0787090923E-01	8.3528603505E-01	7.4932068953E-02
8.4465804817E-01	6.1368806626E-01	8.1068227917E-01	7.7859315620E-01	3.9853982951E-01	8.2097472189E-01	7.3483999356E-01	4.5568378350E-01	6.8478660625E-02	8.3279556120E-01	3.8717785741E-01	7.4214369566E-01
7.2101729858E-01	2.5256694984E-01	7.2880378345E-01	2.0741768754E-01	6.0265348733E-01	7.4382209776E-01	7.5588913286E-01	3.6093371185E-02	9.3244397088E-01	7.8760467575E-01	3.0248865518E-01	4.0133872666E-01
9.0355880160E-02	5.0764285211E-01	7.7151148706E-01	2.3782939247E-01	8.2419926928E-01	5.1919960661E-01	2.4564375324E-01	9.3081674468E-01	1.3670629942E-01	9.8983292363E-01	6.5435252136E-02	2.7299440423E-01
2.2811668975E-01	3.8433869938E-01	8.7992088086E-01	6.0435264648E-01	8.7482523965E-01	1.4869339750E-01	9.6382111398E-01	2.6621131915E-01	3.3881673264E-01	2.6356531271E-01	8.6565836193E-01	4.8818129842E-01
6.9179204472E-01	6.1952885324E-01	1.9726536956E-01	8.6738380412E-01	7.9687655588E-01	3.9155638484E-02	8.9440183997E-01	1.5606337230E-01	9.4606441534E-02	2.4886684242E-01	3.7450949763E-01	9.5968684813E-01
9.8159486215E-01	3.7458333611E-01	3.1982471714E-01	7.1683215310E-01	2.1546535248E-01	9.1432441123E-01	9.5929666964E-01	1.6497387223E-01	1.4576067505E-01	2.4317064805E-01	8.7129068374E-01	8.5883900346E-01
5.1050087883E-02	5.8494256257E-01	5.9385390050E-01	2.9398391719E-01	7.1364742612E-01	9.4369876309E-01	9.1602676422E-01	7.9015611583E-01	4.2763418570E-01	6.1916742802E-01	9.2462385473E-01	2.3556628351E-01
9.0121181266E-01	2.2397626152E-01	4.1199039199E-01	4.7970321695E-01	7.4502126819E-01	4.3389499441E-01	3.4899548242E-01	8.8430345931E-02	2.4682535410E-02	8.9263851264E-01	4.2913461389E-01	1.2953901621E-01
8.6966924279E-01	7.1866123073E-01	9.6882574882E-01	5.6933000745E-01	2.1069611184E-01	5.7125051203E-01	4.1185512233E-01	9.3913650939E-01	9.5582709338E-01	8.0451417921E-01	5.9038023797E-01	9.6287836954E-01
8.1886680810E-01	3.3557193272E-01	3.0812550092E-01	1.7189850484E-01	9.8598255338E-01	7.4492587326E-01	3.2768613429E-01	8.6163159019E-01	2.2124679395E-01	6.4924153196E-01	5.9678296248E-01	3.9546508781E-01
7.4283911136E-01	1.8869464860E-01	3.8727321965E-01	3.7847159837E-01	4.7608078281E-01	8.8590829235E-01	4.8220258970E-01	9.0056076829E-01	7.7610945808E-01	2.6104233605E-01	1.4453279807E-01	1.8182347917E-01
8.3310871913E-01	7.0758362081E-01	8.6058085982E-01	6.5958824145E-01	4.5862951460E-01	6.4980610356E-01	1.4323516670E-01	2.4951020963E-02	6.0423247803E-01	2.0209339781E-01	9.1515221196E-01	4.0792092014E-01
4.7711026330E-01	9.4298781108E-01	3.0355038562E-01	6.8218220295E-01	9.5561673803E-01	7.9730717808E-02	4.6953188339E-02	5.2335424599E-01	8.1105883092E-01	3.4991469136E-01	8.8004480674E-02	5.0954456077E-01
